number,year,country,activity,sex,age,fatal_clean,decade,century
66827,1929,AUSTRALIA,Unknown,M,24.0,1,1920,20
66828,1929,AUSTRALIA,Swimming between boats,M,24.0,1,1920,20
66829,1929,USA,Swimming,M,26.0,0,1920,20
66830,1929,AUSTRALIA,Bathing,M,24.0,1,1920,20
66831,1929,AUSTRALIA,Launching rowboat through the surf,M,9.0,0,1920,20
66832,1929,AUSTRALIA,Launching rowboat through the surf,M,12.0,0,1920,20
66833,1929,AUSTRALIA,Body surfing,M,20.0,1,1920,20
66834,1929,AUSTRALIA,Canoeing,Unknown,24.0,0,1920,20
66835,1929,AUSTRALIA,Swimming,M,39.0,1,1920,20
66836,1929,AUSTRALIA,Swimming,M,24.0,1,1920,20
66837,1929,NEW ZEALAND,Bathing,F,24.0,0,1920,20
66838,1929,AUSTRALIA,Body surfing,M,14.0,1,1920,20
66839,1929,TURKEY,Fishing boat,M,24.0,1,1920,20
66840,1929,FIJI,Diving for coins thrown from ship S.S. Moeraki,M,24.0,1,1920,20
66841,1929,AUSTRALIA,Swimming,M,24.0,0,1920,20
66842,1929,AUSTRALIA,"Wading, netting fish",M,24.0,0,1920,20
66843,1929,USA,Fishing,M,24.0,0,1920,20
66844,1929,AUSTRALIA,Unknown,M,24.0,0,1920,20
66845,1929,USA,Hardhat diving,M,27.0,0,1920,20
66846,1928,AUSTRALIA,Pearl diving,M,24.0,0,1920,20
66847,1928,USA,Fishing,M,24.0,0,1920,20
66848,1928,INDIA,Unknown,M,24.0,0,1920,20
66849,1928,USA,"Sea Disaster, sinking of the  SS Vestris",M,24.0,1,1920,20
66850,1928,PANAMA,Swimming,M,17.0,1,1920,20
66851,1928,USA,Fishing,M,24.0,0,1920,20
66852,1928,USA,Unknown,M,24.0,0,1920,20
66853,1928,AUSTRALIA,Pearl diving,M,24.0,0,1920,20
66854,1928,ITALY,Boating,M,24.0,0,1920,20
66855,1928,USA,Swimming,M,24.0,0,1920,20
66856,1928,INDIA,Unknown,M,24.0,0,1920,20
66857,1928,AUSTRALIA,Fishing,M,24.0,0,1920,20
66858,1928,AUSTRALIA,Treading water,M,19.0,0,1920,20
66859,1928,JAMAICA,Diving,M,24.0,1,1920,20
66860,1928,AUSTRALIA,Bathing,M,15.0,0,1920,20
66861,1928,AUSTRALIA,Standing in waist-deep water,M,28.0,1,1920,20
66862,1928,AUSTRALIA,Unknown,M,24.0,0,1920,20
66863,1928,AUSTRALIA,Pearl diving,M,24.0,1,1920,20
66864,1928,COSTA RICA,Swimming,F,24.0,0,1920,20
66865,1928,COSTA RICA,Swimming,M,24.0,0,1920,20
66866,1928,AUSTRALIA,Retrieving meat from a cage in the water,M,78.0,1,1920,20
66867,1928,USA,Swimming,Unknown,24.0,0,1920,20
66868,1928,USA,Jumped overboard and swimming,M,24.0,0,1920,20
66869,1928,SOUTH AFRICA,Unknown,F,24.0,0,1920,20
66870,1928,SOUTH AFRICA,Body surfing,M,18.0,0,1920,20
66871,1928,SOUTH AFRICA,Standing,M,25.0,0,1920,20
66872,1927,SOUTH AFRICA,Swimming,M,17.0,1,1920,20
66873,1927,AUSTRALIA,The steamer Tahiti collided with the ferry Greycliffe,Unknown,24.0,1,1920,20
66874,1927,BRAZIL,Italian liner Principessa Mafalda sank,Unknown,24.0,1,1920,20
66875,1927,AUSTRALIA,Riding horseback across the creek,M,24.0,0,1920,20
66876,1927,FIJI,"Standing, collecting bananas",M,24.0,0,1920,20
66877,1927,AUSTRALIA,Unknown,Unknown,24.0,0,1920,20
66878,1927,PHILIPPINES,Sea disaster,Unknown,24.0,1,1920,20
66879,1927,AUSTRALIA,Walking,M,24.0,1,1920,20
66880,1927,AUSTRALIA,Diving,M,24.0,0,1920,20
66881,1927,AUSTRALIA,Pearl diving,M,24.0,0,1920,20
66882,1927,AUSTRALIA,Body surfing / treading water,M,17.0,0,1920,20
66883,1927,NICARAGUA,Feeling the sharks teeth,M,24.0,0,1920,20
66884,1927,AUSTRALIA,Attempting to rescue drowning man,M,24.0,0,1920,20
66885,1927,NEW ZEALAND,Fishing,M,70.0,0,1920,20
66886,1927,SOUTH AFRICA,Body surfing,M,24.0,0,1920,20
66887,1927,USA,Swimming,M,24.0,0,1920,20
66888,1927,AUSTRALIA,Swimming,M,15.0,1,1920,20
66889,1927,AUSTRALIA,Swimming,M,10.0,1,1920,20
66890,1927,AUSTRALIA,Pearl diving,M,24.0,0,1920,20
66891,1926,AUSTRALIA,Diving for trochus,M,24.0,1,1920,20
66892,1926,AUSTRALIA,Diving,M,24.0,0,1920,20
66893,1926,PAPUA NEW GUINEA,Jumped into the water,M,24.0,1,1920,20
66894,1926,AUSTRALIA,Bathing,M,17.0,0,1920,20
66895,1926,BERMUDA,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,Unknown,24.0,0,1920,20
66896,1926,PAPUA NEW GUINEA,Jumped out of canoe,M,24.0,1,1920,20
66897,1926,USA,Swimming,M,18.0,1,1920,20
66898,1926,ITALY,Swimming,M,20.0,1,1920,20
66899,1926,USA,Fishing,M,24.0,0,1920,20
66900,1926,USA,Swimming with dog near canning factory,M,15.0,0,1920,20
66901,1926,SPAIN,Bathing,M,24.0,0,1920,20
66902,1926,USA,Swimming,M,24.0,1,1920,20
66903,1926,SOUTH ATLANTIC OCEAN,Fell overboard from SS Ripley Castle,M,26.0,0,1920,20
66904,1926,USA,Swimming,F,24.0,0,1920,20
66905,1926,AUSTRALIA,Swimming,F,24.0,1,1920,20
66906,1926,SOUTH AFRICA,Swimming,M,24.0,0,1920,20
66907,1926,AUSTRALIA,Unknown,M,24.0,0,1920,20
66908,1926,MONACO,Unknown,M,24.0,1,1920,20
66909,1926,NEW ZEALAND,Shark hoisted on board liner Tahiti,M,24.0,0,1920,20
66910,1926,SINGAPORE,Dived onto shark from floating stage,F,24.0,1,1920,20
66911,1926,SOUTH AFRICA,Swimming to mail boat,M,24.0,0,1920,20
66912,1925,AUSTRALIA,Floating on his back,M,55.0,1,1920,20
66913,1925,USA,Unknown,F,24.0,0,1920,20
66914,1925,USA,Unknown,M,24.0,0,1920,20
66915,1925,SPAIN,Fishing,M,24.0,0,1920,20
66916,1925,ENGLAND,Fishing,M,24.0,0,1920,20
66917,1925,USA,Swimming,F,24.0,0,1920,20
66918,1925,AUSTRALIA,Unknown,Unknown,24.0,0,1920,20
66919,1925,USA,Unknown,M,24.0,0,1920,20
66920,1925,AUSTRALIA,Bathing in waist-deep water,M,16.0,0,1920,20
66921,1925,AUSTRALIA,Swimming,M,16.0,1,1920,20
66922,1925,PAPUA NEW GUINEA,Swimming,M,24.0,1,1920,20
66923,1925,USA,Swimming,M,24.0,0,1920,20
66924,1925,CANADA,"Diving, repairing water main at depth of 90'",M,24.0,0,1920,20
66925,1925,FIJI,Diving for coins tossed from passenger ship,M,24.0,0,1920,20
66926,1924,MEXICO,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,F,24.0,1,1920,20
66927,1924,PANAMA,"Inebriated, woke from sleep and fell off deck into the water",M,35.0,0,1920,20
66928,1924,USA,Bathing,M,35.0,1,1920,20
66929,1924,FRENCH POLYNESIA,Pearl diving,M,24.0,0,1920,20
66930,1924,AUSTRALIA,Bathing,M,24.0,0,1920,20
66931,1924,USA,Standing,M,24.0,0,1920,20
66932,1924,ENGLAND,Fishing for mackerel,M,24.0,0,1920,20
66933,1924,USA,Fishing,M,14.0,0,1920,20
66934,1924,USA,Removing shark from a net,M,24.0,0,1920,20
66935,1924,AUSTRALIA,"Fishing, fell in water & swimming strongly to shore",M,20.0,1,1920,20
66936,1924,PANAMA,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",M,21.0,0,1920,20
66937,1924,AUSTRALIA,Swimming,M,24.0,0,1920,20
66938,1924,SOLOMON ISLANDS,Swimming,M,24.0,0,1920,20
66939,1924,SPAIN,Fishing,Unknown,24.0,0,1920,20
66940,1924,AUSTRALIA,Bathing in 5' of water,F,30.0,0,1920,20
66941,1924,AUSTRALIA,Bathing,M,24.0,0,1920,20
66942,1924,SOUTH AFRICA,Swimming,M,22.0,1,1920,20
66943,1924,SOUTH AFRICA,Swimming,M,24.0,0,1920,20
66944,1924,AUSTRALIA,Had just dived into water & was swimming,M,16.0,1,1920,20
66945,1923,AUSTRALIA,Swimming,M,24.0,0,1920,20
66946,1923,AUSTRALIA,"Fishing, standing in waist-deep water",M,24.0,1,1920,20
66947,1923,AUSTRALIA,Dry shelling,M,24.0,1,1920,20
66948,1923,AUSTRALIA,Fishing,M,24.0,0,1920,20
66949,1923,AUSTRALIA,Sailing,M,24.0,0,1920,20
66950,1923,AUSTRALIA,Fishing,Unknown,24.0,0,1920,20
66951,1923,AUSTRALIA,Pearl diving,M,24.0,0,1920,20
66952,1923,GUYANA,Fishing,M,24.0,0,1920,20
66953,1923,AUSTRALIA,Diving for pearl,M,24.0,0,1920,20
66954,1923,AUSTRALIA,"After rowing skiff was holed by shark, he was attempting to swim ashore",M,24.0,1,1920,20
66955,1923,MEXICO,Dismantling cable buoys of the cable ship All America,Unknown,24.0,0,1920,20
66956,1923,AUSTRALIA,Wading,M,24.0,0,1920,20
66957,1923,AUSTRALIA,Diving?,M,24.0,1,1920,20
66958,1923,AUSTRALIA,Diving,M,24.0,0,1920,20
66959,1923,USA,Swimming,M,25.0,0,1920,20
66960,1923,AUSTRALIA,Unknown,M,24.0,0,1920,20
66961,1923,AUSTRALIA,Swimming,M,13.0,1,1920,20
66962,1923,CUBA,seaplane Columbus ditched in the sea,M,24.0,0,1920,20
66963,1923,USA,Fishing,M,24.0,0,1920,20
66964,1923,PHILIPPINES,Unknown,M,24.0,1,1920,20
66965,1923,USA,Hoisting shark aboard fishing boat,M,24.0,0,1920,20
66966,1922,USA,Hoisting shark aboard fishing boat,M,24.0,0,1920,20
66967,1922,USA,Bathing,F,24.0,1,1920,20
66968,1922,AUSTRALIA,Bathing in 3' to 4' of water,M,19.0,1,1920,20
66969,1922,BARBADOS,Fishing,M,16.0,1,1920,20
66970,1922,AUSTRALIA,Sailing,M,24.0,0,1920,20
66971,1922,USA,"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging",M,24.0,0,1920,20
66972,1922,ENGLAND,Swimming,M,24.0,1,1920,20
66973,1922,USA,Fishing,Unknown,24.0,0,1920,20
66974,1922,USA,Unknown,M,24.0,0,1920,20
66975,1922,USA,Floating,F,18.0,1,1920,20
66976,1922,JAMAICA,Swimming,M,19.0,1,1920,20
66977,1922,SOUTH AFRICA,Swimming,M,18.0,0,1920,20
66978,1922,AUSTRALIA,Swimming,M,24.0,1,1920,20
66979,1922,JAMAICA,Fishing,M,24.0,0,1920,20
66980,1922,JAMAICA,Standing,F,14.0,1,1920,20
66981,1922,AUSTRALIA,Bathing in knee-deep water,M,21.0,1,1920,20
66982,1922,AUSTRALIA,Swimming,M,24.0,0,1920,20
66983,1922,AUSTRALIA,Swimming,M,18.0,1,1920,20
66984,1922,IRAQ,Bathing,M,24.0,1,1920,20
66985,1922,AUSTRALIA,Swimming,M,54.0,1,1920,20
66986,1922,AUSTRALIA,Standing,M,24.0,0,1920,20
66987,1922,AUSTRALIA,Surfing,M,26.0,1,1920,20
66988,1921,AUSTRALIA,Swimming,M,20.0,0,1920,20
66989,1921,AUSTRALIA,Fell from his father's back into the water,M,8.0,1,1920,20
66990,1921,AUSTRALIA,"Wading to dinghy, carrying his son",M,40.0,0,1920,20
66991,1921,FIJI,Swimming,Unknown,24.0,1,1920,20
66992,1921,AUSTRALIA,Diving for beche-de-mer,M,24.0,0,1920,20
66993,1921,AUSTRALIA,Diving for beche-de-mer,M,22.0,1,1920,20
66994,1921,ENGLAND,Fishing,M,24.0,0,1920,20
66995,1921,AUSTRALIA,Unknown,M,24.0,0,1920,20
66996,1921,PHILIPPINES,Swimming,M,21.0,1,1920,20
66997,1921,CUBA,Fell overboard,M,24.0,1,1920,20
66998,1921,PHILIPPINES,Unknown,Unknown,24.0,0,1920,20
66999,1920,AUSTRALIA,Wading,M,24.0,0,1920,20
67000,1921,HAITI,Dived into a school of baitfish,M,24.0,1,1920,20
67001,1920,AUSTRALIA,Standing,M,24.0,0,1920,20
67002,1920,PHILIPPINES,The coastwise steamer San Basilio capsized in a typhoon,M,24.0,1,1920,20
67003,1920,USA,Swimming,M,30.0,0,1920,20
67004,1920,AUSTRALIA,Diving for trochus shell,M,24.0,0,1920,20
67005,1920,USA,Swimming,M,13.0,0,1920,20
67006,1920,CANADA,Harpooned shark,Unknown,24.0,0,1920,20
67007,1920,AUSTRALIA,"Boat capsized, swimming to shore",M,20.0,0,1920,20
67008,1920,AUSTRALIA,Diving,M,24.0,0,1920,20
67009,1920,SOUTH AFRICA,Floating face down,F,18.0,0,1920,20
67010,1920,AUSTRALIA,Free diving,M,24.0,1,1920,20
67011,1920,AUSTRALIA,Swimming,M,12.0,1,1920,20
67012,1920,JAMAICA,Jumped overboard,M,24.0,1,1920,20
67013,1920,NEW ZEALAND,Unknown,F,24.0,0,1920,20
67014,1920,SOUTH AFRICA,Splashing,M,12.0,0,1920,20
67015,1919,AUSTRALIA,Swimming,M,29.0,0,1910,20
67016,1919,AUSTRALIA,Swimming,M,47.0,1,1910,20
67017,1919,AUSTRALIA,Sitting in a boat,M,24.0,0,1910,20
67018,1919,COSTA RICA,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore,M,24.0,1,1910,20
67019,1919,USA,Swimming,M,24.0,0,1910,20
67020,1919,USA,"""Swimming vigorously""",M,24.0,0,1910,20
67021,1919,USA,Knocked into the water,M,24.0,1,1910,20
67022,1919,AUSTRALIA,Cutter capsized,M,24.0,0,1910,20
67023,1919,AUSTRALIA,Swimming,M,24.0,0,1910,20
67024,1919,NEW ZEALAND,Swimming,F,24.0,0,1910,20
67025,1919,AUSTRALIA,Wading,M,13.0,1,1910,20
67026,1919,AUSTRALIA,Wading (shrimping),M,38.0,1,1910,20
67027,1919,ITALY,Fishing,M,24.0,0,1910,20
67028,1919,USA,Swimming,F,24.0,0,1910,20
67029,1918,USA,Fishing,M,24.0,1,1910,20
67030,1918,SAN DOMINGO,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,M,24.0,1,1910,20
67031,1918,AUSTRALIA,Bathing,M,22.0,1,1910,20
67032,1918,AUSTRALIA,Surfing,M,24.0,0,1910,20
67033,1918,AUSTRALIA,Diving,M,24.0,0,1910,20
67034,1917,AUSTRALIA,Swimming,M,24.0,0,1910,20
67035,1917,MOZAMBIQUE,Wreck of the tug Magellan,M,24.0,1,1910,20
67036,1917,USA,"Swimming, towing an empty barrel",M,24.0,0,1910,20
67037,1917,USA,Stuffing a shark into an automobile,M,24.0,0,1910,20
67038,1917,PANAMA,Swimming to shore from the Medic,M,24.0,1,1910,20
67039,1917,USA,Diving,M,24.0,1,1910,20
67040,1917,IRELAND,Ship Mariston torpedoed & sunk,M,24.0,1,1910,20
67041,1917,USA,Swimming beside launch,M,24.0,0,1910,20
67042,1917,PHILIPPINES,Swimming,M,24.0,1,1910,20
67043,1917,KUWAIT,Diving for pearls,M,24.0,0,1910,20
67044,1917,LIBYA,Diving for sponges,M,24.0,0,1910,20
67045,1916,AUSTRALIA,Bathing,M,25.0,0,1910,20
67046,1916,AUSTRALIA,Taking wife to beach & about 1 m from the shore,M,41.0,1,1910,20
67047,1916,AUSTRALIA,Swimming 10 m from shore,F,24.0,0,1910,20
67048,1916,PANAMA,Unknown,M,24.0,0,1910,20
67049,1916,AUSTRALIA,Swimming,M,24.0,1,1910,20
67050,1916,AUSTRALIA,Bathing,M,27.0,1,1910,20
67051,1916,USA,"Fishing, attempted to take a netted shark",M,24.0,1,1910,20
67052,1916,USA,Netting shrimp,M,24.0,0,1910,20
67053,1916,USA,Fishing,M,24.0,0,1910,20
67054,1916,USA,Swimming,F,24.0,0,1910,20
67055,1916,USA,Swimming,M,24.0,0,1910,20
67056,1916,USA,Swimming,M,12.0,0,1910,20
67057,1916,USA,Swimming (recovering remains of Stilwell),M,24.0,1,1910,20
67058,1916,USA,Swimming,M,10.0,1,1910,20
67059,1916,BAHAMAS,S.S. Ramos foundered in a hurricane. Captain & 14 crew in water-logged lifeboats.,M,24.0,1,1910,20
67060,1916,SPAIN,Diving,M,24.0,0,1910,20
67061,1916,PHILIPPINES,Bathing,M,24.0,0,1910,20
67062,1916,USA,Swimming,M,24.0,1,1910,20
67063,1916,USA,Swimming,M,24.0,1,1910,20
67064,1916,USA,Swimming,M,10.0,0,1910,20
67065,1916,ATLANTIC OCEAN,Jumped overboard from Norwegian steamship Venator,M,24.0,1,1910,20
67066,1916,USA,Unknown,M,26.0,0,1910,20
67067,1916,AUSTRALIA,Swimming,M,24.0,1,1910,20
67068,1916,AUSTRALIA,Clinging to overturned rowing boat,M,17.0,1,1910,20
67069,1916,AUSTRALIA,Bathing,M,24.0,0,1910,20
67070,1915,AUSTRALIA,Diving,M,24.0,0,1910,20
67071,1915,AUSTRALIA,Bathing,M,10.0,0,1910,20
67072,1915,AUSTRALIA,Bathing,M,24.0,0,1910,20
67073,1915,USA,Unknown,M,24.0,0,1910,20
67074,1915,MEXICO,Fishing,M,24.0,1,1910,20
67075,1915,MEXICO,Wading,M,24.0,1,1910,20
67076,1915,EGYPT,Fell overboard,M,24.0,0,1910,20
67077,1915,AUSTRALIA,Skin diving for trepang but at surface next to the boat,M,24.0,0,1910,20
67078,1915,AUSTRALIA,Swimming,M,24.0,0,1910,20
67079,1915,NEW ZEALAND,Fishing,M,24.0,0,1910,20
67080,1915,AUSTRALIA,Bathing,M,17.0,1,1910,20
67081,1915,USA,Unknown,M,24.0,0,1910,20
67082,1914,AUSTRALIA,Swimming,M,24.0,0,1910,20
67083,1914,SAMOA,Copra vessel with 19 on board was wrecked in a squall,F,24.0,0,1910,20
67084,1914,JAMAICA,Fell overboard,M,24.0,1,1910,20
67085,1914,USA,Swimming,M,17.0,1,1910,20
67086,1914,CROATIA,Washing clothes,F,24.0,0,1910,20
67087,1914,USA,Fishing,M,24.0,0,1910,20
67088,1914,CROATIA,Unknown,M,24.0,0,1910,20
67089,1914,MONTENEGRO,Fishing boat,M,24.0,0,1910,20
67090,1914,AUSTRALIA,Bathing,M,43.0,1,1910,20
67091,1914,NEW CALEDONIA,Swimming ashore from swamped 13-ft boat,M,24.0,1,1910,20
67092,1914,USA,Fishing,F,24.0,0,1910,20
67093,1914,USA,Swimming,M,24.0,0,1910,20
67094,1914,GUYANA,Boat swamped,M,24.0,1,1910,20
67095,1914,USA,Washed into sea while picking opihi & attacked by 2 large sharks,M,24.0,1,1910,20
67096,1914,AUSTRALIA,Wading,M,24.0,0,1910,20
67097,1914,AUSTRALIA,Canoeing,M,24.0,0,1910,20
67098,1914,AUSTRALIA,Wading,F,24.0,0,1910,20
67099,1914,SOUTH AFRICA,Unknown,F,24.0,0,1910,20
67100,1913,USA,Fishing for mackerel,Unknown,24.0,0,1910,20
67101,1913,CUBA,Unknown,M,24.0,1,1910,20
67102,1913,NIGERIA,Boat swamped,M,24.0,1,1910,20
67103,1913,AUSTRALIA,Swimming,M,12.0,0,1910,20
67104,1913,USA,Unknown,M,24.0,0,1910,20
67105,1913,CROATIA,Unknown,M,24.0,0,1910,20
67106,1913,USA,Unknown,M,24.0,0,1910,20
67107,1913,USA,Unknown,F,24.0,0,1910,20
67108,1913,ITALY,Unknown,Unknown,24.0,0,1910,20
67109,1913,USA,Unknown,M,24.0,1,1910,20
67110,1913,COSTA RICA,Swimming,M,24.0,1,1910,20
67111,1913,USA,Fishing,M,24.0,0,1910,20
67112,1913,AUSTRALIA,Hauling in net,M,24.0,0,1910,20
67113,1913,SAMOA,Unknown,M,24.0,0,1910,20
67114,1913,AUSTRALIA,Diving,M,24.0,0,1910,20
67115,1913,REUNION,Swimming after his hat,M,24.0,1,1910,20
67116,1913,REUNION,Swimming,M,24.0,1,1910,20
67117,1913,AUSTRALIA,Unknown,M,24.0,0,1910,20
67118,1912,PHILIPPINES,Swimming from foundered vessel,F,19.0,1,1910,20
67119,1912,USA,Swimming,M,12.0,1,1910,20
67120,1912,USA,Swimming,M,24.0,0,1910,20
67121,1912,SOLOMON ISLANDS,Bathing,M,24.0,1,1910,20
67122,1912,SOUTH AFRICA,Unknown,M,24.0,0,1910,20
67123,1912,NEW ZEALAND,Swimming,M,24.0,0,1910,20
67124,1912,AUSTRALIA,Hard hat diving,M,24.0,0,1910,20
67125,1912,AUSTRALIA,Swimming,M,18.0,0,1910,20
67126,1912,NEW CALEDONIA,Swimming,M,24.0,0,1910,20
67127,1912,AUSTRALIA,Swimming,M,21.0,1,1910,20
67128,1912,FIJI,Washed overboard,M,7.0,1,1910,20
67129,1912,AUSTRALIA,Unknown,M,24.0,0,1910,20
67130,1912,AUSTRALIA,Bathing,M,24.0,1,1910,20
67131,1912,SPAIN,Fell into the water,M,24.0,1,1910,20
67132,1911,USA,Unknown,M,24.0,0,1910,20
67133,1911,USA,Fell overboard from steamship Rio Grande,M,24.0,1,1910,20
67134,1911,AUSTRALIA,Diving,M,23.0,0,1910,20
67135,1911,USA,Jumped overboard to rescue companion,M,24.0,1,1910,20
67136,1911,USA,Fell overboard & swimming,M,24.0,1,1910,20
67137,1911,USA,Bathing,M,24.0,0,1910,20
67138,1911,SPAIN,Bathing,M,24.0,1,1910,20
67139,1911,USA,Fishing,M,24.0,0,1910,20
67140,1911,SOUTH AFRICA,Bathing,M,64.0,1,1910,20
67141,1911,USA,Fishing,M,24.0,0,1910,20
67142,1911,SOUTH AFRICA,Swimming,M,24.0,1,1910,20
67143,1911,NEW ZEALAND,Fishing,Unknown,24.0,0,1910,20
67144,1911,AUSTRALIA,Swimming,M,24.0,1,1910,20
67145,1911,AUSTRALIA,3-masted steel barque Glenbank foundered during a cyclone,M,22.0,0,1910,20
67146,1911,USA,Swimming,M,24.0,0,1910,20
67147,1911,NEW ZEALAND,Fishing,M,50.0,1,1910,20
67148,1910,CROATIA,Unknown,M,24.0,0,1910,20
67149,1910,AUSTRALIA,Shipwrecked pearling schooner,M,24.0,1,1910,20
67150,1910,NORTH ATLANTIC OCEAN,Fishing,M,24.0,0,1910,20
67151,1910,AUSTRALIA,Bathing,M,24.0,0,1910,20
67152,1910,MEXICO,Swimming,M,24.0,0,1910,20
67153,1910,MOZAMBIQUE,"Steamer Durao struck rock & filled, boats capsized, passengers & crew tried to swim to shore",Unknown,24.0,1,1910,20
67154,1910,USA,"Unknown, their unoccupied yawlboat was recovered",M,24.0,0,1910,20
67155,1910,PANAMA,Fell overboard from USS cruiser Tacoma,M,24.0,1,1910,20
67156,1910,NEW ZEALAND,Swimming,M,24.0,0,1910,20
67157,1910,USA,"Hard hat diving, laying some charge of powder",M,24.0,0,1910,20
67158,1910,AUSTRALIA,Surf bathing,M,24.0,0,1910,20
67159,1910,AUSTRALIA,Unknown,M,24.0,1,1910,20
67160,1910,USA,"Fishing, thrown into water by heavy sea, clinging to rocks at the water line",M,24.0,0,1910,20
67161,1910,PHILIPPINES,Swimming,M,24.0,0,1910,20
67162,1909,USA,Unknown,M,24.0,0,1900,20
67163,1909,AUSTRALIA,Fell overboard,M,24.0,1,1900,20
67164,1909,AUSTRALIA,Fishing,M,24.0,0,1900,20
67165,1909,INDONESIA,The 2379-ton French steamer La Seyne collied with British steamer Onda & sank in minutes. Passengers jumped overboard expecting to be picked up by Ondas boats,Unknown,24.0,1,1900,20
67166,1909,USA,Seine netting,M,24.0,0,1900,20
67167,1909,USA,Fell overboard from fishing schooner Halycon,M,24.0,1,1900,20
67168,1909,USA,Fell overboard while fishing for sharks,M,24.0,0,1900,20
67169,1909,USA,Swimming,M,16.0,0,1900,20
67170,1909,MEXICO,Bathing,F,24.0,1,1900,20
67171,1909,SOUTH AFRICA,Unknown,M,24.0,1,1900,20
67172,1909,AUSTRALIA,"1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",M,24.0,1,1900,20
67173,1909,SPAIN,Fishing,M,24.0,0,1900,20
67174,1909,USA,Reported swept away by waves while gathering opihi,F,19.0,0,1900,20
67175,1909,TUNISIA,Diving (Helmet) for sponges,M,24.0,1,1900,20
67176,1909,SOUTH AFRICA,Wreck of the 1308-ton Norwegian ship Auckland,F,24.0,1,1900,20
67177,1909,Unknown,Jumped overboard,M,36.0,0,1900,20
67178,1909,ITALY,"On December 28, 1908, an earthquake, followed by tsunamis, destroyed coastal towns in Silcily and southern Italy, killing more than 100,000 people",Unknown,24.0,0,1900,20
67179,1909,AUSTRALIA,Unknown,Unknown,24.0,0,1900,20
67180,1908,SOUTH AFRICA,Swimming,M,16.0,1,1900,20
67181,1908,MEXICO,Swimming ashore from capsized boat,M,24.0,1,1900,20
67182,1908,AUSTRALIA,Fell from the jetty,M,24.0,1,1900,20
67183,1908,USA,On fishing boat & trailing hand in the water,M,24.0,0,1900,20
67184,1908,SPAIN,Fell overboard from P&O steamship Arabia,M,24.0,1,1900,20
67185,1908,SPAIN,Unknown,Unknown,24.0,0,1900,20
67186,1908,CROATIA,Boating,F,24.0,1,1900,20
67187,1908,EGYPT,The 168-ton Belmore foundered in heavy seas,M,24.0,1,1900,20
67188,1908,USA,The British steamer Caribbee foundered,M,24.0,1,1900,20
67189,1908,PAPUA NEW GUINEA,.,.,24.0,1,1900,20
67190,1908,INDONESIA,native boats sunk in storm,F,24.0,1,1900,20
67191,1908,USA,Unknown,M,24.0,0,1900,20
67192,1908,USA,Gathering fish stunned by dynamite,M,24.0,1,1900,20
67193,1907,AUSTRALIA,Bathing,M,24.0,1,1900,20
67194,1907,AUSTRALIA,Bathing,M,24.0,1,1900,20
67195,1907,CHINA,Fishing,M,24.0,0,1900,20
67196,1907,CHINA,Fishing,M,24.0,1,1900,20
67197,1907,AUSTRALIA,Bathing,M,24.0,0,1900,20
67198,1907,HAITI,Reached out to disentangle rope & fell overboard,M,24.0,0,1900,20
67199,1907,USA,"Diving, retrieving fish caught in net",M,24.0,0,1900,20
67200,1907,ENGLAND,Swimming,M,24.0,0,1900,20
67201,1907,CROATIA,Swimming,F,24.0,1,1900,20
67202,1907,CROATIA,Swimming,F,24.0,1,1900,20
67203,1907,CROATIA,Swimming,M,24.0,1,1900,20
67204,1907,USA,Wading,M,24.0,0,1900,20
67205,1907,CROATIA,Swimming,F,24.0,1,1900,20
67206,1907,AUSTRALIA,.,M,24.0,0,1900,20
67207,1907,USA,Floating in creek,M,24.0,0,1900,20
67208,1907,MEXICO,Bathing,M,24.0,0,1900,20
67209,1907,USA,"Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",M,24.0,1,1900,20
67210,1907,MALTA,Fishing,M,24.0,1,1900,20
67211,1907,PHILIPPINES,"Row boat (from the gunboat Elcano) was sinking, put finger in hole",M,24.0,0,1900,20
67212,1907,NEW ZEALAND,Standing,M,55.0,1,1900,20
67213,1907,AUSTRALIA,Bathing,M,18.0,1,1900,20
67214,1907,VIETNAM,Fishing,M,20.0,0,1900,20
67215,1907,USA,"Net fishing, fell into the water",M,24.0,1,1900,20
67216,1906,JAMAICA,Fishing,M,24.0,0,1900,20
67217,1906,USA,Unknown,M,24.0,0,1900,20
67218,1906,USA,Swimming,M,24.0,1,1900,20
67219,1906,USA,Diving,M,24.0,0,1900,20
67220,1906,USA,Swimming,M,24.0,1,1900,20
67221,1906,INDONESIA,Swimming,M,24.0,0,1900,20
67222,1906,INDONESIA,Swimming,M,24.0,1,1900,20
67223,1906,AUSTRALIA,Swimming,M,24.0,1,1900,20
67224,1906,USA,Fishing,M,24.0,0,1900,20
